event_uid,venue_uid,"start_date","end_date"
14786026,8298559,"2019-08-23","2019-10-19"
14786063,4747014,"2015-05-01","2015-05-01"
14787843,6450183,"2015-11-02","2015-11-28"
14788691,1358830,"2017-03-18","2017-04-15"
14789140,13371986,"2015-06-20","2015-06-20"
14792934,113940,"2011-08-27","2011-10-01"
14794438,4599642,"2017-04-30","2017-04-30"
14794640,6249733,"2015-02-05","2015-03-02"
14795550,612969,"2015-10-03","2015-10-31"
14796546,12267103,"2018-11-17","2018-11-18"
14797726,10000716,"2010-10-02","2010-11-04"
14802878,5231713,"2012-10-12","2012-11-09"
14803427,1153402,"2016-08-19","2017-01-08"
14805046,7729187,"2012-03-17","2012-04-21"
14805543,6906371,"2009-01-09","2009-02-14"
14806054,5527059,"2013-01-24","2013-03-02"
14806951,2959161,"2015-10-29","2015-12-19"
14811015,10137684,"2011-12-10","2012-01-29"
14812322,12330565,"2019-05-23","2019-09-15"
14812348,9743125,"2016-10-28","2016-11-30"
14814647,4599642,"2014-07-19","2014-07-20"
14814680,416130,"2008-07-29","2008-09-02"
14814831,7729187,"2011-08-06","2011-09-10"
14819831,9733210,"2009-01-06","2009-04-05"
14825012,14088458,"2018-01-06","2018-01-31"
14826172,416130,"2015-05-20","2015-06-24"
14829013,1647308,"2013-10-02","2013-10-02"
14829393,2797286,"2017-09-08","2017-10-07"
14829965,6022610,"2014-07-11","2014-09-07"
14832534,476776,"2016-07-09","2016-08-20"
14835522,4984980,"2009-04-04","2009-04-26"
14839791,712212,"2010-10-16","2010-11-27"
14840319,3155723,"2015-07-11","2015-08-08"
14840756,13952082,"2010-10-29","2011-01-08"
14842140,12909288,"2018-01-13","2018-02-03"
14846726,3816741,"2014-02-20","2014-04-05"
14847006,9576675,"2014-05-17","2014-06-01"
14847918,8692473,"2018-09-15","2018-10-20"
14850830,8692473,"2009-11-21","2010-01-02"
14854645,3708126,"2016-05-21","2016-07-02"
14858125,14858902,"2010-09-11","2010-10-16"
14859641,5527059,"2011-05-06","2011-06-18"
14860050,14153503,"2011-02-25","2011-04-22"
14863899,2857335,"2010-01-09","2010-01-31"
14866493,2857335,"2009-03-07","2009-03-29"
14868008,3708126,"2016-09-10","2016-10-29"
14868254,7729187,"2017-11-18","2018-01-13"
14868979,6618085,"2013-10-08","2013-10-13"
14870050,615820,"2019-01-17","2019-01-17"
14872154,6022610,"2007-04-27","2007-06-03"
14873355,1077923,"2017-01-19","2017-01-19"
